CellLine,Gene,RQ1,RQ2,RQ3,RQmin,RQmax,minus_error,plus_error
AS2_ESC,UBE3A,0.398736156,0.558703075,0.461400775,0.337463398,0.662823146,0.13548327,0.189876477
AS2_ESC,UBE3A-ATS,1.740621407,0.877912733,0.669429227,0.485754926,2.472829751,0.610232863,1.376841962
AS2_ESC,GABRB3,0.602561982,0.921108422,0.616088376,0.522845532,0.973001979,0.190407395,0.259749052
AS2_ESC,GABRA5,0.477643675,0.6990528,0.523680818,0.412849005,0.77813839,0.153943426,0.211345959
AS2_ESC,GABRG3,4.282125596,1.438347676,4.510111533,1.192958627,9.748392968,2.217236308,6.338198033
AS2_ESC,PWAR5,0.858217432,1.136349096,0.940571014,0.64840248,1.476283405,0.3299767,0.497904224
AS2_ESC,HERC2,0.486958665,0.924968553,0.507472737,0.472851302,0.865692913,0.166948683,0.225892928
AS2_ESC,CYFIP1,0.487263742,0.797862168,0.553605473,0.447666782,0.839149225,0.165243679,0.226238765
AS2_ESC,TUBGCP5,0.476596634,0.863624255,0.583143695,0.460543958,0.892502891,0.18057757,0.251381363
AS2_ESC,CHRNA7,0.605009905,1.095007689,0.792728637,0.584627763,1.180957292,0.246287648,0.350041881
AS2_ESC,NANOG,1.335297721,2.161793587,1.67411594,1.210918937,2.453727367,0.512816813,0.729991617
AS2_ESC,SOX2,0.392441359,0.574423496,0.477202553,0.306116151,0.756913375,0.175239652,0.275557572
AS2_ESC,OCT3/4,1.004322152,1.789759136,1.12568365,0.883693188,1.931861694,0.422895125,0.625273381
AS2_ESC,FGF4,0.172703885,0.982408611,0.340688568,0.186682545,1.331684831,0.31191781,0.833084476
AS2_ESC,KLF4,0.689053544,1.285954264,0.597464266,0.594453202,1.236918706,0.263037489,0.379428015
AS2_ESC,LIN28A,0.814431412,1.314868125,0.954228784,0.709644847,1.488717591,0.318197927,0.460874818
AS2_ESC,ZFP42,0.705740969,1.717196336,0.955671698,0.699246467,1.813857144,0.426956534,0.687654143
AS2_ESC,PAX6,3.153800592,2.484009649,1.629025414,0.865234539,6.78132127,1.557044013,4.359042718
AS2_ESC,MAP2,1.039342871,1.676009121,1.13365003,0.952759205,1.727709079,0.330241468,0.444708405
AS2_ESC,DLG4,1.216143197,1.667523521,1.204179207,0.931519543,1.993216882,0.431095765,0.630601573
WT_neu,NDN,1.512855528,1.2255431,0.539354062,0.749742205,1.592201016,0.342842026,0.499616786
WT_neu,MAGEL2,1.914052262,1.206860748,0.432901455,0.690667979,2.031784629,0.493936843,0.847179807
WT_neu,MKRN3,1.19809373,1.19158878,0.700459129,0.776783484,1.365885452,0.253263729,0.335838239
WT_neu,SNRPN ex1/2,1.282910624,1.181393844,0.659794809,0.782369106,1.386102831,0.25899732,0.344736405
WT_neu,SNRPN U4/ex2,1.105036567,1.397000088,0.647779078,0.785052736,1.404199955,0.264885841,0.354261377
WT_neu,116HGG1,0.81404023,1.397638576,0.878940047,0.700278471,1.515575634,0.329927813,0.48536935
WT_neu,116HGG2,0.80064719,1.323790867,0.943494637,0.70725821,1.478669612,0.315386021,0.456025381
WT_neu,116HGG3,0.687758038,1.30961099,1.110253152,0.632167367,1.697390791,0.403706692,0.661516731
WT_neu,IPW,0.851877499,1.384984556,0.847574578,0.728536562,1.45096803,0.299608982,0.422822485
WT_neu,SNORD115,1.176590533,1.494804695,0.568578191,0.768590372,1.517558512,0.311400767,0.437567373
WT_neu,UBE3A,1.034697624,1.291128467,0.748543583,0.774276026,1.356356501,0.250513866,0.33156661
WT_neu,UBE3A-ATS,1.728371218,1.918222995,0.301622602,0.623609657,2.777452538,0.692462615,1.461380266
WT_neu,GABRB3,1.361641267,1.499961703,0.489617716,0.746497976,1.671609815,0.370575586,0.554536253
WT_neu,GABRA5,2.144187067,1.244450154,0.374765688,0.650868005,2.417831325,0.603599632,1.163363689
WT_neu,GABRG3,0.987074049,1.210374268,0.837009879,0.739320734,1.383843322,0.272165332,0.372357257
WT_neu,PWAR5,0.883549309,1.357955518,0.833457894,0.717475136,1.464300955,0.307512438,0.439313381
WT_neu,HERC2,0.982618745,1.313003413,0.775084586,0.773735408,1.354071835,0.249833507,0.33050292
WT_neu,CYFIP1,0.784753913,1.283118626,0.993115365,0.693829595,1.500472005,0.326499707,0.480142704
WT_neu,TUBGCP5,1.002770644,1.255493303,0.794298949,0.76848932,1.347252185,0.249031646,0.329731219
WT_neu,CHRNA7,0.793078488,1.239434664,1.017326113,0.689400853,1.499130973,0.327212236,0.482517885
WT_neu,NANOG,1.11897903,1.536113339,0.581774647,0.742765009,1.567313119,0.336190663,0.488357446
WT_neu,SOX2,0.98837509,1.134075657,0.892146509,0.652081279,1.548511224,0.352784473,0.543645472
WT_neu,OCT3/4,0.979404759,1.32305996,0.771717349,0.734887496,1.428880147,0.28983986,0.404152792
WT_neu,FGF4,1.11323984,1.216681128,0.738302754,0.795532776,1.314841671,0.227208464,0.292100431
WT_neu,KLF4,1.319013198,1.465954507,0.517166477,0.736208722,1.645682177,0.364502672,0.544970783
WT_neu,LIN28A,0.559580356,0.765812027,2.33354058,0.470751661,3.159908699,0.74889266,1.940264378
WT_neu,ZFP42,0.362621044,3.990388527,0.691085552,0.211928068,13.33937703,1.469436973,11.65801199
WT_neu,PAX6,0.539150933,1.143287926,1.62231066,0.541039566,2.242877534,0.560543607,1.141294361
WT_neu,MAP2,1.084321317,1.351194786,0.682533612,0.789286167,1.368639499,0.250063738,0.329289594
WT_neu,DLG4,1.536455755,1.300877297,0.500315096,0.744268729,1.663063461,0.368280653,0.550514078
PWS_neu,NDN,0.000112981,0.00023639,6.63646E-05,2.31315E-05,0.00083021,0.000115447,0.000691632
PWS_neu,MAGEL2,0.012618911,0.007676604,0.004567015,0.00361566,0.018995931,0.00467185,0.010708421
PWS_neu,MKRN3,0.107941842,0.089120128,0.055428667,0.050050079,0.141528294,0.034113466,0.057364749
PWS_neu,SNRPN ex1/2,1.50651E-05,5.37944E-05,2.84451E-05,5.2155E-06,0.000201711,2.72194E-05,0.000169276
PWS_neu,SNRPN U4/ex2,0.013560769,0.034216186,0.002072567,0.005574403,0.049531461,0.011042105,0.032914953
PWS_neu,116HGG1,0.005526557,0.015242697,0.010850129,0.004651672,0.023881147,0.005888122,0.013341352
PWS_neu,116HGG2,0.004057309,0.015572236,0.001281711,0.002563462,0.018953564,0.004406957,0.011983146
PWS_neu,116HGG3,0.003699248,0.016403502,0.004060333,0.004390248,0.014776553,0.003664113,0.006722192
